N,d,l,o,r,m,estimate,target
500,1,0.75,1.0,1,Sfit,0.02947334317924368,0.0
1000,1,0.75,1.0,1,Sfit,-0.0415502256256615,0.0
500,2,0.75,1.0,1,Sfit,0.1971713144670994,0.0
1000,2,0.75,1.0,1,Sfit,0.1583636813509876,0.0
500,3,0.75,1.0,1,Sfit,0.1958882136586348,0.0
1000,3,0.75,1.0,1,Sfit,0.17416579730901494,0.0
500,4,0.75,1.0,1,Sfit,0.191394124404608,0.0
1000,4,0.75,1.0,1,Sfit,-0.06889650532377595,0.0
500,1,1.75,1.0,1,Sfit,0.019366720374677286,0.0
1000,1,1.75,1.0,1,Sfit,-0.004438234661730395,0.0
500,2,1.75,1.0,1,Sfit,-0.08577193840824382,0.0
1000,2,1.75,1.0,1,Sfit,0.029346429487196294,0.0
500,3,1.75,1.0,1,Sfit,-0.02821212660554333,0.0
1000,3,1.75,1.0,1,Sfit,0.030075787650842747,0.0
500,4,1.75,1.0,1,Sfit,-0.1082325960217287,0.0
1000,4,1.75,1.0,1,Sfit,0.06937615199618653,0.0
500,1,0.75,1.4142135623730951,1,Sfit,0.0029655920005059325,0.0
1000,1,0.75,1.4142135623730951,1,Sfit,0.0059875167064075575,0.0
500,2,0.75,1.4142135623730951,1,Sfit,-0.16550078317458122,0.0
1000,2,0.75,1.4142135623730951,1,Sfit,-0.12059888210459727,0.0
500,3,0.75,1.4142135623730951,1,Sfit,0.01750401407019741,0.0
1000,3,0.75,1.4142135623730951,1,Sfit,0.2430156099381931,0.0
500,4,0.75,1.4142135623730951,1,Sfit,-0.14753089897247565,0.0
1000,4,0.75,1.4142135623730951,1,Sfit,-0.04680069376959502,0.0
500,1,1.75,1.4142135623730951,1,Sfit,0.15983167273043733,0.0
1000,1,1.75,1.4142135623730951,1,Sfit,-0.11513541459827659,0.0
500,2,1.75,1.4142135623730951,1,Sfit,0.09892133591699089,0.0
1000,2,1.75,1.4142135623730951,1,Sfit,0.223979833025841,0.0
500,3,1.75,1.4142135623730951,1,Sfit,0.4072367659507098,0.0
1000,3,1.75,1.4142135623730951,1,Sfit,0.019354277113674215,0.0
500,4,1.75,1.4142135623730951,1,Sfit,-0.11462674380680687,0.0
1000,4,1.75,1.4142135623730951,1,Sfit,-0.04810987503116671,0.0
500,1,0.75,1.0,2,Sfit,-0.10175505811332375,0.0
1000,1,0.75,1.0,2,Sfit,0.038027195599424385,0.0
500,2,0.75,1.0,2,Sfit,-0.01507212298709061,0.0
1000,2,0.75,1.0,2,Sfit,-0.11093229508564735,0.0
500,3,0.75,1.0,2,Sfit,-0.022448292249518477,0.0
1000,3,0.75,1.0,2,Sfit,0.12365070365225318,0.0
500,4,0.75,1.0,2,Sfit,-0.02463541498106551,0.0
1000,4,0.75,1.0,2,Sfit,0.0838322617276735,0.0
500,1,1.75,1.0,2,Sfit,0.042251419095650125,0.0
1000,1,1.75,1.0,2,Sfit,0.03584313870708917,0.0
500,2,1.75,1.0,2,Sfit,-0.03859052050633499,0.0
1000,2,1.75,1.0,2,Sfit,0.057474589937929366,0.0
500,3,1.75,1.0,2,Sfit,0.009590089138634239,0.0
1000,3,1.75,1.0,2,Sfit,0.08704083344701112,0.0
500,4,1.75,1.0,2,Sfit,0.05985237285637547,0.0
1000,4,1.75,1.0,2,Sfit,-0.023658453497011747,0.0
500,1,0.75,1.4142135623730951,2,Sfit,-0.08689947560115063,0.0
1000,1,0.75,1.4142135623730951,2,Sfit,0.008823248837955978,0.0
500,2,0.75,1.4142135623730951,2,Sfit,0.02471209131982668,0.0
1000,2,0.75,1.4142135623730951,2,Sfit,0.010079530842721996,0.0
500,3,0.75,1.4142135623730951,2,Sfit,-0.001558325692611398,0.0
1000,3,0.75,1.4142135623730951,2,Sfit,0.028572251186337376,0.0
500,4,0.75,1.4142135623730951,2,Sfit,0.10413768777510729,0.0
1000,4,0.75,1.4142135623730951,2,Sfit,-0.1681757612118997,0.0
500,1,1.75,1.4142135623730951,2,Sfit,-0.01548943238588462,0.0
1000,1,1.75,1.4142135623730951,2,Sfit,-0.023735503147791482,0.0
500,2,1.75,1.4142135623730951,2,Sfit,0.13862794966591008,0.0
1000,2,1.75,1.4142135623730951,2,Sfit,0.06767301838656668,0.0
500,3,1.75,1.4142135623730951,2,Sfit,0.07685350696345987,0.0
1000,3,1.75,1.4142135623730951,2,Sfit,0.06353953864581446,0.0
500,4,1.75,1.4142135623730951,2,Sfit,-0.06017251453081909,0.0
1000,4,1.75,1.4142135623730951,2,Sfit,-0.15241984805179995,0.0
500,1,0.75,1.0,3,Sfit,-0.03826744780202721,0.0
1000,1,0.75,1.0,3,Sfit,0.06778282271505419,0.0
500,2,0.75,1.0,3,Sfit,0.18281541551642197,0.0
1000,2,0.75,1.0,3,Sfit,0.11148178725626616,0.0
500,3,0.75,1.0,3,Sfit,0.03273989673732283,0.0
1000,3,0.75,1.0,3,Sfit,0.24247400771900227,0.0
500,4,0.75,1.0,3,Sfit,-0.06301480861978695,0.0
1000,4,0.75,1.0,3,Sfit,0.10139541251088409,0.0
500,1,1.75,1.0,3,Sfit,-0.0935866315790215,0.0
1000,1,1.75,1.0,3,Sfit,0.02748272450338352,0.0
500,2,1.75,1.0,3,Sfit,0.0875356718359455,0.0
1000,2,1.75,1.0,3,Sfit,-0.15878786327439653,0.0
500,3,1.75,1.0,3,Sfit,0.1638531109786467,0.0
1000,3,1.75,1.0,3,Sfit,0.20832275475540155,0.0
500,4,1.75,1.0,3,Sfit,-0.08167227364209109,0.0
1000,4,1.75,1.0,3,Sfit,0.05106060452272019,0.0
500,1,0.75,1.4142135623730951,3,Sfit,0.011769614034004953,0.0
1000,1,0.75,1.4142135623730951,3,Sfit,-0.09408599580066165,0.0
500,2,0.75,1.4142135623730951,3,Sfit,0.15944512905824984,0.0
1000,2,0.75,1.4142135623730951,3,Sfit,0.07705252462708503,0.0
500,3,0.75,1.4142135623730951,3,Sfit,0.026066731043491463,0.0
1000,3,0.75,1.4142135623730951,3,Sfit,-0.01317522032997403,0.0
500,4,0.75,1.4142135623730951,3,Sfit,-0.2617477874034058,0.0
1000,4,0.75,1.4142135623730951,3,Sfit,0.1499585115008237,0.0
500,1,1.75,1.4142135623730951,3,Sfit,-0.10914938018791522,0.0
1000,1,1.75,1.4142135623730951,3,Sfit,-0.13113384662236474,0.0
500,2,1.75,1.4142135623730951,3,Sfit,0.37760825883503657,0.0
1000,2,1.75,1.4142135623730951,3,Sfit,-0.022072643186585424,0.0
500,3,1.75,1.4142135623730951,3,Sfit,0.07442190492444505,0.0
1000,3,1.75,1.4142135623730951,3,Sfit,0.1631911941648958,0.0
500,4,1.75,1.4142135623730951,3,Sfit,0.0002881380820550228,0.0
1000,4,1.75,1.4142135623730951,3,Sfit,0.08952029398359224,0.0
500,1,0.75,1.0,4,Sfit,-0.055579523650140364,0.0
1000,1,0.75,1.0,4,Sfit,0.05070604552533508,0.0
500,2,0.75,1.0,4,Sfit,0.18612292088770419,0.0
1000,2,0.75,1.0,4,Sfit,0.06721125667817272,0.0
500,3,0.75,1.0,4,Sfit,0.07419534929338371,0.0
1000,3,0.75,1.0,4,Sfit,0.14103455924274064,0.0
500,4,0.75,1.0,4,Sfit,-0.12721073215123907,0.0
1000,4,0.75,1.0,4,Sfit,-0.17241252020125636,0.0
500,1,1.75,1.0,4,Sfit,-0.03996847414438722,0.0
1000,1,1.75,1.0,4,Sfit,-0.019580975161252425,0.0
500,2,1.75,1.0,4,Sfit,0.17940882273974232,0.0
1000,2,1.75,1.0,4,Sfit,0.07529872824265894,0.0
500,3,1.75,1.0,4,Sfit,0.1501814467183415,0.0
1000,3,1.75,1.0,4,Sfit,0.1614972683829666,0.0
500,4,1.75,1.0,4,Sfit,-0.0006475224056599386,0.0
1000,4,1.75,1.0,4,Sfit,0.007720596467616774,0.0
500,1,0.75,1.4142135623730951,4,Sfit,0.009283074380950385,0.0
1000,1,0.75,1.4142135623730951,4,Sfit,0.03900762537844601,0.0
500,2,0.75,1.4142135623730951,4,Sfit,-0.13131582260514846,0.0
1000,2,0.75,1.4142135623730951,4,Sfit,-0.058893826838775025,0.0
500,3,0.75,1.4142135623730951,4,Sfit,0.3000580657671013,0.0
1000,3,0.75,1.4142135623730951,4,Sfit,0.1155919159885124,0.0
500,4,0.75,1.4142135623730951,4,Sfit,-0.1924327222763023,0.0
1000,4,0.75,1.4142135623730951,4,Sfit,-0.1286620438494199,0.0
500,1,1.75,1.4142135623730951,4,Sfit,-0.18271153376439309,0.0
1000,1,1.75,1.4142135623730951,4,Sfit,0.15307146524296014,0.0
500,2,1.75,1.4142135623730951,4,Sfit,0.030360252577225237,0.0
1000,2,1.75,1.4142135623730951,4,Sfit,0.16263815033593476,0.0
500,3,1.75,1.4142135623730951,4,Sfit,0.2860602633132563,0.0
1000,3,1.75,1.4142135623730951,4,Sfit,0.24495043613740614,0.0
500,4,1.75,1.4142135623730951,4,Sfit,0.049588294975254424,0.0
1000,4,1.75,1.4142135623730951,4,Sfit,-0.15156280306392989,0.0
500,1,0.75,1.0,5,Sfit,-0.02596486478041744,0.0
1000,1,0.75,1.0,5,Sfit,0.07281736065883349,0.0
500,2,0.75,1.0,5,Sfit,-0.13292215819092443,0.0
1000,2,0.75,1.0,5,Sfit,-0.05849912541158474,0.0
500,3,0.75,1.0,5,Sfit,-0.013948603782477767,0.0
1000,3,0.75,1.0,5,Sfit,0.12662145841235672,0.0
500,4,0.75,1.0,5,Sfit,0.06537386798191583,0.0
1000,4,0.75,1.0,5,Sfit,0.05969877924351812,0.0
500,1,1.75,1.0,5,Sfit,-0.0430033319866702,0.0
1000,1,1.75,1.0,5,Sfit,0.084902369249997,0.0
500,2,1.75,1.0,5,Sfit,0.20833697240979024,0.0
1000,2,1.75,1.0,5,Sfit,0.06044427697587869,0.0
500,3,1.75,1.0,5,Sfit,0.33692551047586217,0.0
1000,3,1.75,1.0,5,Sfit,0.11069822254944772,0.0
500,4,1.75,1.0,5,Sfit,0.026511200189111343,0.0
1000,4,1.75,1.0,5,Sfit,-0.06447657017090894,0.0
500,1,0.75,1.4142135623730951,5,Sfit,0.05091571304192878,0.0
1000,1,0.75,1.4142135623730951,5,Sfit,0.06894491795170929,0.0
500,2,0.75,1.4142135623730951,5,Sfit,-0.24919645551736222,0.0
1000,2,0.75,1.4142135623730951,5,Sfit,0.018618924385456155,0.0
500,3,0.75,1.4142135623730951,5,Sfit,0.2505976086921696,0.0
1000,3,0.75,1.4142135623730951,5,Sfit,0.015878962016739884,0.0
500,4,0.75,1.4142135623730951,5,Sfit,0.11594879048558544,0.0
1000,4,0.75,1.4142135623730951,5,Sfit,0.03965790957026368,0.0
500,1,1.75,1.4142135623730951,5,Sfit,0.24823542398263299,0.0
1000,1,1.75,1.4142135623730951,5,Sfit,-0.057273241098689975,0.0
500,2,1.75,1.4142135623730951,5,Sfit,0.04105671455343969,0.0
1000,2,1.75,1.4142135623730951,5,Sfit,0.05020461691842643,0.0
500,3,1.75,1.4142135623730951,5,Sfit,-0.21141617464928594,0.0
1000,3,1.75,1.4142135623730951,5,Sfit,0.08904073987464269,0.0
500,4,1.75,1.4142135623730951,5,Sfit,0.15576748721179076,0.0
1000,4,1.75,1.4142135623730951,5,Sfit,0.07251278666938624,0.0
500,1,0.75,1.0,6,Sfit,-0.022701916137033783,0.0
1000,1,0.75,1.0,6,Sfit,-0.07629473354143639,0.0
500,2,0.75,1.0,6,Sfit,0.16864158115247677,0.0
1000,2,0.75,1.0,6,Sfit,0.03394634934943612,0.0
500,3,0.75,1.0,6,Sfit,0.19026495178689515,0.0
1000,3,0.75,1.0,6,Sfit,0.24200481215941436,0.0
500,4,0.75,1.0,6,Sfit,0.006756423792359915,0.0
1000,4,0.75,1.0,6,Sfit,-0.09037437329371457,0.0
500,1,1.75,1.0,6,Sfit,-0.09345105732267421,0.0
1000,1,1.75,1.0,6,Sfit,-0.12371487126269565,0.0
500,2,1.75,1.0,6,Sfit,-0.10508486724503904,0.0
1000,2,1.75,1.0,6,Sfit,-0.035675993823717306,0.0
500,3,1.75,1.0,6,Sfit,0.36428982786641667,0.0
1000,3,1.75,1.0,6,Sfit,-0.06733149528501382,0.0
500,4,1.75,1.0,6,Sfit,-0.2892511874047352,0.0
1000,4,1.75,1.0,6,Sfit,0.0756689175837464,0.0
500,1,0.75,1.4142135623730951,6,Sfit,-0.047597896475970077,0.0
1000,1,0.75,1.4142135623730951,6,Sfit,-0.1411292366102878,0.0
500,2,0.75,1.4142135623730951,6,Sfit,0.2927234244510284,0.0
1000,2,0.75,1.4142135623730951,6,Sfit,-0.02087463536848842,0.0
500,3,0.75,1.4142135623730951,6,Sfit,0.16559247569096025,0.0
1000,3,0.75,1.4142135623730951,6,Sfit,0.06648508224044944,0.0
500,4,0.75,1.4142135623730951,6,Sfit,0.07080207218859097,0.0
1000,4,0.75,1.4142135623730951,6,Sfit,-0.0677983266852785,0.0
500,1,1.75,1.4142135623730951,6,Sfit,-0.16736373872845772,0.0
1000,1,1.75,1.4142135623730951,6,Sfit,0.0965381989560802,0.0
500,2,1.75,1.4142135623730951,6,Sfit,0.06745461046060967,0.0
1000,2,1.75,1.4142135623730951,6,Sfit,0.034900201935926266,0.0
500,3,1.75,1.4142135623730951,6,Sfit,0.04374490534915418,0.0
1000,3,1.75,1.4142135623730951,6,Sfit,0.11829100763591933,0.0
500,4,1.75,1.4142135623730951,6,Sfit,0.10302238452589527,0.0
1000,4,1.75,1.4142135623730951,6,Sfit,-0.005891592157347663,0.0
500,1,0.75,1.0,7,Sfit,-0.02124944896339018,0.0
1000,1,0.75,1.0,7,Sfit,-0.13268525983763907,0.0
500,2,0.75,1.0,7,Sfit,-0.04900433719115197,0.0
1000,2,0.75,1.0,7,Sfit,-0.012314647311178765,0.0
500,3,0.75,1.0,7,Sfit,-0.2806671332422718,0.0
1000,3,0.75,1.0,7,Sfit,0.14826430942136767,0.0
500,4,0.75,1.0,7,Sfit,0.09442264790723173,0.0
1000,4,0.75,1.0,7,Sfit,-0.02575259135926199,0.0
500,1,1.75,1.0,7,Sfit,-0.11188284914445171,0.0
1000,1,1.75,1.0,7,Sfit,-0.024267738905470213,0.0
500,2,1.75,1.0,7,Sfit,-0.09295092157340742,0.0
1000,2,1.75,1.0,7,Sfit,-0.027517709602846743,0.0
500,3,1.75,1.0,7,Sfit,-0.06420387177720782,0.0
1000,3,1.75,1.0,7,Sfit,0.1621074638320399,0.0
500,4,1.75,1.0,7,Sfit,-0.06474819200988093,0.0
1000,4,1.75,1.0,7,Sfit,-0.018117281854932218,0.0
500,1,0.75,1.4142135623730951,7,Sfit,-0.11024451904497388,0.0
